category,language,weeks,hours,title,description
1,Danish,24,600,World languages,Languages closely cognate with English
1,Dutch,24,600,World languages,Languages closely cognate with English
1,French,30,750,World languages,Languages closely cognate with English
1,Italian,24,600,World languages,Languages closely cognate with English
1,Norwegian,24,600,World languages,Languages closely cognate with English
1,Portuguese,24,600,World languages,Languages closely cognate with English
1,Romanian,24,600,World languages,Languages closely cognate with English
1,Spanish,24,600,World languages,Languages closely cognate with English
1,Swedish,24,600,World languages,Languages closely cognate with English
2,German,36,900,Moderate languages,Languages that take a little longer than Category I languages
2,Haitian Creole,36,900,Moderate languages,Languages that take a little longer than Category I languages
2,Indonesian,36,900,Moderate languages,Languages that take a little longer than Category I languages
2,Malay,36,900,Moderate languages,Languages that take a little longer than Category I languages
2,Swahili,36,900,Moderate languages,Languages that take a little longer than Category I languages
3,Albanian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Amharic,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Armenian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Azerbaijani,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Bengali,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Bulgarian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Burmese,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Czech,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Dari,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Estonian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Farsi,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Finnish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Georgian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Greek,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Gujarati,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Hausa,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Hebrew,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Hindi,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Hungarian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Icelandic,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Kazakh,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Khmer,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Kurdish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Kyrgyz,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Lao,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Latvian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Lithuanian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Macedonian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Mongolian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Nepali,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Pashto,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Polish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Russian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Serbo-Croatian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Sinhala,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Slovak,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Slovenian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Somali,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Tagalog,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Tajiki,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Tamil,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Telugu,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Thai,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Tibetan,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Turkish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Turkmen,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Ukranian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Urdu,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Uzbek,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
3,Vietnamese,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
4,Arabic,88,2200,Advanced languages,Languages which are exceptionally difficult for native English speakers
4,Chinese - Cantonese,88,2200,Advanced languages,Languages which are exceptionally difficult for native English speakers
4,Chinese - Mandarin,88,2200,Advanced languages,Languages which are exceptionally difficult for native English speakers
4,Japanese,88,2200,Advanced languages,Languages which are exceptionally difficult for native English speakers
4,Korean,88,2200,Advanced languages,Languages which are exceptionally difficult for native English speakers
