category,language,weeks,hours,title,description
1,"Danish","24","600","World","Languages closely cognate with English"
1,"Dutch","24","600","World","Languages closely cognate with English"
1,"French","30","750","World","Languages closely cognate with English"
1,"Italian","24","600","World","Languages closely cognate with English"
1,"Norwegian","24","600","World","Languages closely cognate with English"
1,"Portuguese","24","600","World","Languages closely cognate with English"
1,"Romanian","24","600","World","Languages closely cognate with English"
1,"Spanish","24","600","World","Languages closely cognate with English"
1,"Swedish","24","600","World","Languages closely cognate with English"
2,"German","36","900","Moderate","Slightly ore difficult than Category I languages"
2,"Haitian Creole","36","900","Moderate","Slightly ore difficult than Category I languages"
2,"Indonesian","36","900","Moderate","Slightly ore difficult than Category I languages"
2,"Malay","36","900","Moderate","Slightly ore difficult than Category I languages"
2,"Swahili","36","900","Moderate","Slightly ore difficult than Category I languages"
3,"Albanian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Amharic","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Armenian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Azerbaijani","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Bengali","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Bulgarian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Burmese","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Czech","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Dari","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Estonian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Farsi","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Finnish","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Georgian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Greek","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Gujarati","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Hausa","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Hebrew","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Hindi","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Hungarian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Icelandic","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Kazakh","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Khmer","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Kurdish","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Kyrgyz","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Lao","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Latvian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Lithuanian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Macedonian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Mongolian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Nepali","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Pashto","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Polish","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Russian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Serbo-Croatian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Sinhala","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Slovak","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Slovenian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Somali","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Tagalog","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Tajiki","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Tamil","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Telugu","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Thai","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Tibetan","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Turkish","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Turkmen","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Ukranian","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Urdu","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Uzbek","44","1100","Hard","Significant linguistic and/or cultural differences"
3,"Vietnamese","44","1100","Hard","Significant linguistic and/or cultural differences"
4,"Arabic","88","2200","Advanced","Exceptionally difficult for native English speakers"
4,"Cantonese","88","2200","Advanced","Exceptionally difficult for native English speakers"
4,"Mandarin","88","2200","Advanced","Exceptionally difficult for native English speakers"
4,"Japanese","88","2200","Advanced","Exceptionally difficult for native English speakers"
4,"Korean","88","2200","Advanced","Exceptionally difficult for native English speakers"
